age,education_level,marital_status,num_dependents,region,employment_type,employment_years,months_employed,annual_income,monthly_income,savings_balance,investment_balance,credit_score,num_credit_lines,num_late_payments,credit_util_rate,loan_purpose,loan_amount,loan_term_months,interest_rate,monthly_payment,debt_to_income,loan_to_income,property_type,has_cosigner,num_prev_loans
42,Master,Married,0,West,Employed,0.0,0,71034.0,5919.5,7631.6,17134.92,612,8,1,0.1649,Vacation,26169.04,48,4.45,596.17,0.1007,0.3684,Rent,0,6
23,PhD,Married,3,South,Self-Employed,12.9,154,86268.85,7189.07,9656.33,28270.4,688,0,7,0.194,Personal,60329.27,48,7.83,1467.91,0.2042,0.6993,Other,0,5
64,Master,Single,5,Central,Employed,0.0,0,105043.13,8753.59,1343.36,28810.91,657,6,5,0.6314,Education,147812.55,36,10.82,4826.64,0.5514,1.4072,Rent,0,4
66,Associate,Married,2,North,Employed,5.5,65,68356.6,5696.38,16645.09,4727.45,728,15,6,0.2336,Medical,10405.46,120,9.43,134.23,0.0236,0.1522,Rent,1,4
60,Bachelor,Divorced,5,Central,Self-Employed,3.9,47,73145.16,6095.43,48768.49,1665.07,850,7,5,0.2438,Vacation,16812.72,120,10.17,223.76,0.0367,0.2299,Mortgage,0,6
53,High School,Single,4,Central,Employed,3.4,40,53204.31,4433.69,12814.67,978.67,698,14,1,0.4036,Education,51992.86,48,9.53,1307.09,0.2948,0.9772,Rent,0,2
40,Associate,Single,5,North,Employed,5.8,69,57309.18,4775.76,4180.32,8499.11,631,19,3,0.4913,Education,33127.93,48,4.33,752.89,0.1576,0.5781,Own,0,1
48,Bachelor,Single,5,West,Employed,2.7,32,61358.02,5113.17,8785.24,4988.37,711,18,4,0.1776,Car,16694.9,48,10.06,423.88,0.0829,0.2721,Mortgage,0,2
47,Associate,Single,0,Central,Retired,1.9,23,53894.21,4491.18,1089.41,739.32,628,7,2,0.5617,Medical,220225.78,120,2.88,2114.21,0.4707,4.0863,Rent,0,6
27,PhD,Married,2,West,Employed,9.3,111,80150.78,6679.23,19660.43,21231.97,643,1,9,0.0508,Medical,51677.36,12,5.62,4438.65,0.6645,0.6448,Other,0,4
22,PhD,Married,0,Central,Self-Employed,13.3,159,80268.54,6689.04,14632.47,18006.4,625,18,4,0.0838,Business,12365.78,60,9.6,260.32,0.0389,0.1541,Own,0,5
32,Bachelor,Married,0,South,Self-Employed,0.0,0,58066.25,4838.85,3891.47,1615.26,756,19,9,0.5719,Personal,9810.04,120,2.08,90.62,0.0187,0.1689,Own,1,3
43,Master,Single,2,West,Part-Time,9.0,107,82656.89,6888.07,5229.27,13894.71,750,18,0,0.6276,Home,28184.49,84,9.69,463.36,0.0673,0.341,Mortgage,0,3
27,Bachelor,Married,3,Central,Employed,10.7,128,57265.58,4772.13,2959.28,12325.98,666,3,9,0.2457,Medical,32171.5,12,7.38,2789.36,0.5845,0.5618,Own,1,1
24,High School,Married,5,North,Employed,10.2,122,33679.71,2806.64,3411.54,2386.18,563,1,3,0.1999,Business,17689.01,36,7.06,546.66,0.1948,0.5252,Rent,0,2
66,Associate,Married,0,East,Employed,6.9,82,60882.68,5073.56,4083.79,207.47,608,11,9,0.2809,Business,23222.13,48,4.89,533.61,0.1052,0.3814,Mortgage,0,0
39,Associate,Single,0,Central,Self-Employed,5.0,60,61112.96,5092.75,13025.36,3567.88,676,12,4,0.2574,Education,31946.62,24,1.5,1352.01,0.2655,0.5227,Rent,1,3
51,Associate,Married,0,East,Part-Time,11.8,141,66843.72,5570.31,9384.04,19364.67,773,11,6,0.1747,Education,19689.38,48,6.88,470.35,0.0844,0.2946,Mortgage,0,3
47,Associate,Single,5,Central,Employed,9.7,116,48095.83,4007.99,40331.56,7379.24,438,0,2,0.4056,Home,22217.55,12,9.21,1945.07,0.4853,0.4619,Rent,1,3
59,High School,Divorced,3,West,Part-Time,0.0,0,55039.68,4586.64,6792.05,9475.25,699,0,6,0.2212,Car,7960.1,12,11.9,706.88,0.1541,0.1446,Mortgage,0,0
60,Associate,Divorced,2,South,Employed,6.9,82,75143.89,6261.99,19428.95,5193.94,734,7,8,0.2742,Business,74864.13,60,9.62,1576.86,0.2518,0.9963,Mortgage,1,4
34,PhD,Divorced,0,South,Employed,8.3,99,87625.81,7302.15,101618.8,20678.79,736,12,8,0.452,Home,8741.59,36,12.68,293.21,0.0402,0.0998,Other,1,2
66,High School,Single,2,East,Self-Employed,2.5,30,62281.16,5190.1,34043.51,4120.06,737,4,7,0.2399,Vacation,88731.26,24,6.72,3961.56,0.7633,1.4247,Mortgage,1,5
39,Associate,Single,0,East,Employed,6.8,81,59571.76,4964.31,6979.24,6652.42,765,6,4,0.3281,Education,74690.91,48,4.69,1709.73,0.3444,1.2538,Rent,0,6
65,Bachelor,Divorced,0,East,Retired,10.5,125,84145.54,7012.13,2218.48,45863.12,662,11,2,0.4351,Medical,15170.62,36,8.97,482.19,0.0688,0.1803,Rent,0,6
41,Bachelor,Married,2,West,Self-Employed,3.9,46,79944.36,6662.03,23614.71,2301.02,740,16,3,0.3933,Vacation,92909.1,60,12.33,2082.11,0.3125,1.1622,Rent,0,4
24,Bachelor,Married,3,East,Employed,9.2,109,54398.86,4533.24,26925.63,1848.98,532,10,2,0.1729,Medical,30553.08,60,8.07,620.51,0.1369,0.5616,Rent,0,2
61,High School,Married,2,West,Employed,3.1,36,55731.55,4644.3,9645.23,17138.19,644,10,8,0.2898,Vacation,11843.22,48,3.47,264.6,0.057,0.2125,Mortgage,0,4
19,Bachelor,Single,5,West,Part-Time,1.8,21,43863.58,3655.3,6387.91,4479.93,707,5,0,0.5345,Medical,36892.57,24,5.82,1632.07,0.4465,0.8411,Own,1,1
62,Bachelor,Married,5,Central,Unemployed,11.1,132,79222.04,6601.84,4092.54,1297.68,640,1,0,0.275,Business,12739.03,36,8.44,401.76,0.0609,0.1608,Own,0,3
20,Bachelor,Divorced,0,Central,Employed,13.9,166,41484.35,3457.03,24386.97,6029.5,599,13,2,0.4074,Education,15100.19,60,8.85,312.34,0.0904,0.364,Own,0,4
29,Bachelor,Married,1,East,Employed,2.1,24,44292.11,3691.01,23197.2,9380.77,628,11,3,0.129,Business,15251.7,36,6.96,470.65,0.1275,0.3443,Rent,0,0
52,Bachelor,Married,3,North,Self-Employed,12.8,153,64406.76,5367.23,15822.07,17488.72,733,3,9,0.1865,Vacation,34789.15,12,5.96,2993.5,0.5577,0.5401,Rent,0,0
71,Bachelor,Widowed,2,South,Employed,7.9,95,85660.03,7138.34,1259.78,27291.27,671,19,8,0.1394,Medical,28516.12,84,5.02,403.31,0.0565,0.3329,Rent,1,1
41,Associate,Married,2,South,Employed,0.0,0,58842.49,4903.54,5423.68,9388.51,676,9,2,0.261,Vacation,63891.39,60,6.43,1247.92,0.2545,1.0858,Rent,0,7
24,Bachelor,Single,4,South,Employed,0.8,9,51812.21,4317.68,53708.06,2159.16,711,16,8,0.1102,Vacation,99768.55,120,7.5,1184.15,0.2743,1.9256,Mortgage,0,7
31,High School,Married,1,Central,Employed,11.0,132,39306.6,3275.55,9157.93,2776.46,701,5,6,0.1304,Medical,35486.86,24,8.36,1610.89,0.4918,0.9028,Mortgage,0,3
69,Associate,Single,4,East,Employed,0.0,0,86838.43,7236.54,1835.68,1712.07,797,14,3,0.2005,Car,66744.22,12,4.57,5700.69,0.7878,0.7686,Rent,1,2
59,Bachelor,Married,1,Central,Employed,4.9,58,90662.86,7555.24,10329.49,12263.82,774,4,4,0.5026,Home,25913.59,120,9.24,331.66,0.0439,0.2858,Rent,0,1
23,High School,Married,2,North,Employed,7.6,91,28769.81,2397.48,2513.72,607.68,714,18,4,0.5922,Home,12214.78,120,4.52,126.72,0.0529,0.4246,Rent,0,1
39,High School,Single,1,West,Employed,10.2,122,46784.74,3898.73,12822.47,3877.42,658,15,8,0.4017,Medical,22879.73,24,5.03,1004.08,0.2575,0.489,Mortgage,0,5
33,Bachelor,Single,3,East,Retired,8.9,107,46901.81,3908.48,1555.23,5686.45,788,14,3,0.3618,Medical,30721.42,48,6.16,723.74,0.1852,0.655,Rent,0,6
28,Bachelor,Married,4,West,Employed,15.8,190,54542.18,4545.18,332.41,4392.95,815,7,9,0.263,Medical,99823.8,24,9.25,4571.79,1.0,1.8302,Own,0,2
66,Master,Single,3,South,Employed,3.9,47,93359.9,7779.99,13997.22,34975.24,557,3,7,0.3656,Car,9800.72,120,12.23,141.93,0.0182,0.105,Rent,1,0
53,PhD,Married,2,East,Unemployed,8.5,101,108070.79,9005.9,18256.51,2618.53,674,12,4,0.5457,Education,19758.27,84,4.59,275.46,0.0306,0.1828,Rent,0,4
28,PhD,Single,1,South,Retired,10.3,123,91825.78,7652.15,54255.91,886.58,666,7,2,0.2236,Vacation,26867.41,84,10.24,449.33,0.0587,0.2926,Mortgage,1,5
55,Bachelor,Married,4,West,Unemployed,11.6,138,70364.34,5863.69,24582.96,489.64,604,13,4,0.1913,Business,46168.51,60,4.77,866.42,0.1478,0.6561,Mortgage,0,2
41,Associate,Divorced,0,North,Employed,13.3,159,46043.58,3836.97,13491.4,4590.99,641,1,4,0.5919,Vacation,17704.47,84,10.71,300.41,0.0783,0.3845,Rent,0,0
21,Bachelor,Single,1,West,Self-Employed,5.8,69,41299.7,3441.64,1790.28,12138.38,651,5,9,0.4271,Personal,13890.52,120,7.35,163.82,0.0476,0.3363,Own,0,3
43,Bachelor,Married,4,East,Self-Employed,11.3,135,56849.87,4737.49,14230.0,4810.15,766,9,2,0.0647,Business,9292.48,12,3.79,790.37,0.1668,0.1635,Mortgage,1,6
28,Bachelor,Single,4,West,Part-Time,3.4,40,55699.4,4641.62,4839.65,25443.61,570,10,1,0.7293,Vacation,12497.18,120,11.29,174.21,0.0375,0.2244,Rent,0,3
31,Associate,Married,1,North,Employed,7.6,91,54758.64,4563.22,8597.49,3958.22,700,5,8,0.0582,Medical,191636.15,120,5.56,2085.7,0.4571,3.4997,Mortgage,1,6
68,High School,Married,2,North,Employed,10.5,126,57976.74,4831.4,29370.78,6921.23,619,9,4,0.4709,Vacation,19041.08,36,5.36,573.77,0.1188,0.3284,Other,0,6
58,Associate,Single,1,West,Employed,12.9,154,71940.66,5995.05,9379.65,105.31,779,14,9,0.3224,Vacation,104976.4,36,8.37,3307.38,0.5517,1.4592,Mortgage,0,3
25,High School,Single,5,South,Self-Employed,10.9,130,31789.73,2649.14,2163.52,394.67,689,0,5,0.1331,Business,29614.23,24,5.69,1308.34,0.4939,0.9316,Rent,1,1
66,High School,Married,3,South,Employed,8.5,101,57393.57,4782.8,26978.03,1288.81,756,1,0,0.0303,Home,14017.94,84,6.75,209.86,0.0439,0.2442,Own,1,5
50,PhD,Married,0,Central,Employed,7.6,91,134834.18,11236.18,37218.56,25647.02,688,10,4,0.3462,Car,96310.93,84,6.59,1434.33,0.1277,0.7143,Rent,0,2
67,High School,Widowed,0,Central,Self-Employed,10.7,128,57524.05,4793.67,57986.03,15997.36,551,1,4,0.2921,Education,61236.36,84,11.42,1062.2,0.2216,1.0645,Rent,0,1
60,Bachelor,Divorced,0,North,Unemployed,18.9,227,86559.66,7213.31,32707.69,9928.31,638,1,8,0.2331,Education,21272.65,48,2.29,464.17,0.0643,0.2458,Mortgage,0,5
37,PhD,Married,1,East,Retired,12.3,147,86143.25,7178.6,6690.46,42070.91,818,19,6,0.4887,Business,7487.61,48,4.38,170.35,0.0237,0.0869,Mortgage,0,5
48,Bachelor,Single,1,West,Self-Employed,9.9,118,68238.86,5686.57,6696.58,3992.28,727,3,2,0.5825,Medical,30891.13,60,8.79,638.07,0.1122,0.4527,Mortgage,0,2
48,Bachelor,Single,2,West,Employed,1.2,13,61534.48,5127.87,1269.16,7610.45,841,17,3,0.4363,Medical,75842.92,36,9.32,2423.13,0.4725,1.2325,Other,0,1
59,Bachelor,Married,4,South,Unemployed,3.8,45,77731.77,6477.65,2986.49,9468.86,804,8,0,0.1974,Medical,64517.13,12,7.82,5606.75,0.8656,0.83,Rent,0,4
32,Associate,Divorced,5,Central,Employed,6.4,76,48888.34,4074.03,9876.61,2271.3,631,7,2,0.365,Car,27393.39,36,2.55,791.27,0.1942,0.5603,Own,0,7
36,Bachelor,Single,3,West,Employed,12.6,150,64853.19,5404.43,24464.16,16103.22,575,12,3,0.0527,Car,58951.85,48,7.03,1412.4,0.2613,0.909,Own,0,2
31,Master,Single,4,Central,Employed,3.3,39,65216.72,5434.73,3622.2,16261.16,770,0,0,0.0574,Medical,12716.91,24,2.94,546.26,0.1005,0.195,Mortgage,0,5
34,Master,Married,3,West,Self-Employed,11.2,134,72620.76,6051.73,2587.82,55208.18,764,6,2,0.1144,Business,49251.42,24,13.83,2360.84,0.3901,0.6782,Own,0,6
27,Master,Divorced,1,Central,Employed,8.6,103,79442.26,6620.19,24384.66,8940.03,683,5,4,0.329,Home,32198.7,48,8.62,795.46,0.1202,0.4053,Own,1,5
20,PhD,Married,3,North,Employed,9.8,117,58125.26,4843.77,14535.08,4668.42,564,0,9,0.2977,Car,25065.74,84,5.57,361.01,0.0745,0.4312,Own,0,4
71,Bachelor,Married,1,South,Employed,6.9,83,66998.54,5583.21,6739.62,13955.16,637,5,3,0.137,Personal,203091.07,48,13.0,5448.12,0.9758,3.0313,Rent,1,3
22,Master,Married,1,East,Self-Employed,5.0,60,55084.04,4590.34,2305.38,6391.24,694,6,5,0.7013,Car,31327.42,24,12.52,1482.36,0.3229,0.5687,Rent,1,2
68,Bachelor,Married,5,South,Part-Time,3.1,37,89281.13,7440.09,5494.75,15338.74,742,14,0,0.354,Vacation,4832.68,24,11.05,225.36,0.0303,0.0541,Mortgage,0,7
18,Bachelor,Married,5,North,Employed,11.1,132,45063.12,3755.26,13320.97,26458.94,600,8,3,0.1092,Home,51593.04,84,10.94,881.89,0.2348,1.1449,Own,0,3
62,Master,Married,3,West,Employed,7.6,91,93535.59,7794.63,28538.47,5038.35,762,9,5,0.227,Vacation,327120.99,60,6.01,6326.09,0.8116,3.4973,Own,0,3
36,Master,Married,3,Central,Unemployed,2.6,31,77182.64,6431.89,1986.74,2444.05,744,4,2,0.5237,Education,8112.86,36,10.2,262.56,0.0408,0.1051,Mortgage,0,3
47,Master,Married,4,East,Employed,9.1,109,84066.58,7005.55,3701.12,18681.9,745,11,6,0.1236,Business,29452.15,12,5.63,2529.86,0.3611,0.3503,Other,0,4
34,Associate,Single,4,West,Employed,25.1,301,37974.14,3164.51,3345.51,2011.73,723,18,1,0.1888,Medical,21210.83,24,10.51,983.82,0.3109,0.5586,Mortgage,0,0
45,Bachelor,Single,0,West,Self-Employed,7.0,83,63277.24,5273.1,57399.78,5953.2,506,17,9,0.2927,Business,40503.39,36,8.51,1278.78,0.2425,0.6401,Rent,0,4
43,Associate,Single,2,East,Part-Time,16.3,195,59803.89,4983.66,380.86,34371.22,705,18,1,0.296,Business,14690.39,84,11.4,254.65,0.0511,0.2456,Rent,0,2
48,Bachelor,Single,0,West,Part-Time,0.0,0,66176.86,5514.74,13371.53,7436.37,649,8,4,0.0495,Personal,31595.94,60,8.85,653.65,0.1185,0.4774,Other,1,5
40,Master,Single,3,Central,Employed,6.6,79,64864.95,5405.41,7197.68,2915.44,726,17,5,0.2056,Home,6465.43,120,8.62,80.57,0.0149,0.0997,Mortgage,0,0
48,Master,Married,1,North,Unemployed,12.8,153,106868.53,8905.71,24126.7,13120.12,552,0,3,0.3111,Medical,69746.1,48,4.93,1604.12,0.1801,0.6526,Rent,0,3
65,Bachelor,Divorced,1,South,Employed,8.1,96,74054.25,6171.19,20362.9,15494.41,518,9,4,0.1248,Medical,16883.18,24,2.85,724.54,0.1174,0.228,Own,0,3
42,Bachelor,Married,5,North,Retired,4.8,57,66582.9,5548.57,7956.48,11316.57,727,19,1,0.2281,Personal,186577.61,120,4.28,1913.99,0.345,2.8022,Own,0,1
38,Associate,Married,1,West,Employed,7.9,94,57018.85,4751.57,9777.65,17376.25,608,11,2,0.1327,Vacation,74711.68,120,1.5,670.85,0.1412,1.3103,Rent,0,4
25,High School,Widowed,5,West,Employed,12.9,155,37361.68,3113.47,23985.28,9978.32,509,10,7,0.0857,Medical,14506.5,24,7.31,651.53,0.2093,0.3883,Mortgage,1,2
38,Associate,Widowed,2,West,Employed,18.7,224,49759.76,4146.65,76951.68,14355.98,595,19,7,0.2244,Business,64587.78,24,7.92,2918.65,0.7039,1.298,Rent,0,2
25,PhD,Single,1,West,Employed,13.3,159,56750.57,4729.21,18125.88,50.42,666,2,0,0.3647,Personal,73517.72,84,4.04,1006.36,0.2128,1.2955,Mortgage,0,2
28,Associate,Single,0,East,Employed,5.5,65,52512.14,4376.01,5685.26,391.63,770,15,3,0.1928,Vacation,8054.22,48,11.99,212.06,0.0485,0.1534,Rent,0,0
72,PhD,Single,4,Central,Unemployed,6.8,82,125227.77,10435.65,71609.92,3982.7,683,16,9,0.1347,Personal,9942.85,36,10.74,324.29,0.0311,0.0794,Own,0,4
23,Associate,Divorced,5,North,Unemployed,6.9,82,47750.38,3979.2,2467.09,4590.68,633,12,7,0.2355,Business,13603.93,60,7.91,275.25,0.0692,0.2849,Rent,0,2
45,Master,Single,5,West,Employed,3.7,43,97353.26,8112.77,4243.53,22992.1,659,3,2,0.0421,Car,2748.66,36,9.37,87.88,0.0108,0.0282,Rent,0,1
65,Bachelor,Married,1,Central,Unemployed,7.2,86,72229.48,6019.12,6596.35,13441.3,740,19,5,0.2411,Home,31707.93,60,7.06,628.8,0.1045,0.439,Own,0,6
72,Bachelor,Married,5,South,Unemployed,6.6,79,77708.52,6475.71,110926.32,4403.21,724,14,1,0.4753,Education,72121.84,60,9.98,1531.74,0.2365,0.9281,Rent,0,0
26,Bachelor,Married,1,West,Retired,2.0,23,47655.01,3971.25,4330.71,10852.12,737,13,0,0.1241,Car,32583.65,12,6.59,2813.16,0.7084,0.6837,Rent,1,4
27,Master,Married,2,North,Employed,12.2,146,76644.12,6387.01,137080.02,1096.93,819,6,5,0.348,Home,49165.52,24,9.91,2266.78,0.3549,0.6415,Rent,1,2
39,PhD,Married,0,North,Employed,10.1,121,90269.72,7522.48,16304.18,22087.57,683,0,4,0.2524,Car,30264.56,24,5.31,1331.96,0.1771,0.3353,Mortgage,0,4
49,Bachelor,Married,1,South,Retired,4.8,57,69951.04,5829.25,15540.83,5326.03,736,18,6,0.0845,Personal,33005.2,24,13.53,1577.38,0.2706,0.4718,Mortgage,1,6
72,High School,Divorced,1,Central,Self-Employed,8.7,104,58508.37,4875.7,12535.48,5293.96,508,16,7,0.3269,Personal,2864.06,12,6.69,247.4,0.0507,0.049,Rent,0,2
29,Associate,Single,5,South,Employed,3.2,38,50562.64,4213.55,14168.48,44861.79,694,11,6,0.2153,Education,50532.93,60,3.53,920.03,0.2184,0.9994,Mortgage,0,5
27,Master,Divorced,1,East,Employed,5.2,62,60476.95,5039.75,7654.05,18922.32,571,7,5,0.0471,Car,27507.84,60,3.66,502.33,0.0997,0.4548,Mortgage,0,0
32,Bachelor,Married,1,West,Employed,11.4,137,49833.76,4152.81,248.9,4211.58,629,5,2,0.2378,Car,21754.16,48,8.96,540.98,0.1303,0.4365,Rent,0,3
67,Bachelor,Single,1,West,Employed,10.4,124,75340.35,6278.36,37065.54,875.21,643,6,7,0.455,Vacation,11875.28,24,8.4,539.23,0.0859,0.1576,Mortgage,0,4
19,Bachelor,Widowed,1,West,Employed,5.4,65,36693.53,3057.79,1566.49,2758.35,679,7,8,0.1068,Business,8968.03,60,4.44,166.96,0.0546,0.2444,Rent,0,0
39,Bachelor,Divorced,3,North,Self-Employed,9.6,114,69712.23,5809.35,5139.61,10575.02,633,8,4,0.4657,Car,22370.6,84,9.93,370.62,0.0638,0.3209,Mortgage,0,1
24,Master,Divorced,1,Central,Employed,7.6,91,60238.76,5019.9,20188.9,45701.5,649,9,0,0.2792,Personal,30553.67,48,8.07,746.87,0.1488,0.5072,Mortgage,1,7
26,Master,Divorced,1,South,Employed,3.0,36,56149.71,4679.14,51000.58,182.29,732,0,7,0.3131,Vacation,9012.18,24,9.74,414.8,0.0886,0.1605,Rent,0,7
70,Master,Married,3,East,Employed,7.2,85,94421.11,7868.43,13051.58,4573.29,687,17,9,0.5986,Education,73644.46,12,5.45,6319.62,0.8032,0.78,Rent,0,5
18,Master,Single,4,West,Employed,10.2,121,54907.12,4575.59,1041.37,1033.01,674,7,1,0.4145,Home,10820.6,60,6.8,213.23,0.0466,0.1971,Own,0,2
36,Master,Single,0,South,Employed,9.5,114,67903.24,5658.6,6786.92,2281.55,679,8,4,0.1749,Home,23331.8,12,9.69,2047.92,0.3619,0.3436,Own,0,4
70,Bachelor,Divorced,2,West,Employed,0.0,0,77915.18,6492.93,4485.87,42693.42,661,18,2,0.3287,Vacation,48938.83,48,13.54,1326.01,0.2042,0.6281,Other,0,2
52,PhD,Divorced,3,East,Unemployed,8.8,105,104651.23,8720.94,22525.25,74015.3,759,11,2,0.1754,Medical,8725.72,120,4.84,91.86,0.0105,0.0834,Mortgage,1,2
22,High School,Widowed,5,North,Employed,8.1,97,34001.97,2833.5,17123.95,6995.87,672,6,2,0.2078,Car,2851.55,36,6.55,87.46,0.0309,0.0839,Rent,0,2
44,Bachelor,Divorced,5,South,Employed,0.0,0,55912.43,4659.37,23089.6,123.22,850,3,6,0.0409,Business,15995.77,24,1.5,676.95,0.1453,0.2861,Mortgage,0,6
73,Master,Married,5,West,Employed,4.0,47,111735.76,9311.31,28377.14,5530.78,716,7,3,0.4613,Business,25892.98,60,8.69,533.65,0.0573,0.2317,Rent,0,0
40,Bachelor,Single,3,North,Self-Employed,10.5,125,69084.77,5757.06,19726.87,6307.85,739,3,3,0.7354,Vacation,59887.52,12,1.95,5043.56,0.8761,0.8669,Mortgage,0,2
48,Associate,Single,0,South,Employed,14.9,179,54376.78,4531.4,5116.36,26043.06,654,12,6,0.279,Home,17901.72,48,4.86,411.12,0.0907,0.3292,Mortgage,0,5
48,Bachelor,Married,5,East,Part-Time,0.0,0,59887.23,4990.6,11164.24,7173.85,724,2,0,0.1117,Car,32481.14,60,7.3,647.83,0.1298,0.5424,Other,0,7
55,Bachelor,Married,3,South,Employed,12.9,154,82442.07,6870.17,6911.7,8237.74,761,0,2,0.4433,Business,98775.61,84,5.14,1402.55,0.2042,1.1981,Rent,1,0
28,PhD,Single,5,East,Employed,0.0,0,82712.2,6892.68,10073.74,12152.4,696,3,2,0.3226,Vacation,10094.72,120,9.32,129.64,0.0188,0.122,Mortgage,0,5
65,Bachelor,Divorced,5,Central,Employed,15.0,179,80602.9,6716.91,35185.56,7258.18,649,10,3,0.1781,Education,35649.5,84,10.28,596.91,0.0889,0.4423,Rent,0,1
74,High School,Married,4,North,Self-Employed,6.8,81,65358.05,5446.5,1296.75,520.87,767,6,7,0.2829,Medical,71482.71,60,6.77,1407.64,0.2584,1.0937,Own,0,1
26,Bachelor,Married,2,Central,Self-Employed,4.4,53,50108.57,4175.71,14061.04,19669.18,836,17,2,0.1429,Home,10084.29,24,5.61,445.18,0.1066,0.2012,Mortgage,0,0
64,Bachelor,Divorced,3,West,Unemployed,9.8,117,81759.12,6813.26,50288.31,9389.79,560,6,8,0.3886,Business,11709.94,36,2.84,339.73,0.0499,0.1432,Mortgage,0,3
64,High School,Married,4,Central,Employed,3.2,38,48042.5,4003.54,428.79,14005.98,642,3,2,0.2034,Home,27816.73,84,7.01,419.98,0.1049,0.579,Mortgage,1,3
60,Bachelor,Married,5,West,Employed,10.6,126,71284.16,5940.35,7319.5,8190.67,676,14,4,0.0971,Education,7421.94,60,5.42,141.5,0.0238,0.1041,Mortgage,0,0
39,Bachelor,Married,1,Central,Self-Employed,7.4,88,76099.54,6341.63,87439.18,11233.6,651,13,9,0.384,Business,6520.16,24,5.97,288.89,0.0456,0.0857,Rent,0,5
44,High School,Married,3,North,Employed,0.0,0,39814.51,3317.88,25629.25,1168.26,675,12,5,0.2264,Education,14906.64,48,10.41,381.0,0.1148,0.3744,Own,1,6
65,Bachelor,Single,3,West,Self-Employed,3.9,47,82549.31,6879.11,50115.76,61260.03,599,9,0,0.5043,Medical,8627.69,120,5.51,93.69,0.0136,0.1045,Rent,0,4
26,Bachelor,Married,1,West,Employed,9.0,107,64735.53,5394.63,16308.48,504.93,754,5,4,0.1486,Business,13986.5,24,2.01,595.06,0.1103,0.2161,Own,1,1
65,Master,Married,2,Central,Employed,13.3,159,113742.65,9478.55,14204.61,3927.53,682,14,6,0.3302,Home,22037.92,60,5.1,416.94,0.044,0.1938,Mortgage,0,3
70,Bachelor,Widowed,5,North,Part-Time,9.7,115,88323.29,7360.27,29727.14,23109.19,699,5,1,0.3038,Business,91878.02,120,5.2,983.55,0.1336,1.0402,Mortgage,0,2
56,Associate,Divorced,0,East,Employed,13.3,159,58128.96,4844.08,2084.56,1530.6,657,9,2,0.134,Business,37246.47,48,1.5,799.96,0.1651,0.6408,Mortgage,0,4
37,PhD,Single,3,East,Unemployed,3.5,42,87381.63,7281.8,29093.03,332.94,624,5,4,0.2069,Car,26209.41,48,13.92,715.2,0.0982,0.2999,Own,1,1
49,Bachelor,Widowed,3,North,Part-Time,11.6,139,66726.64,5560.55,913.65,28724.18,627,9,1,0.2251,Car,5703.09,24,4.6,249.18,0.0448,0.0855,Own,1,3
20,High School,Single,5,West,Employed,11.7,140,34087.9,2840.66,3245.81,7205.46,808,7,4,0.2473,Business,3558.47,84,6.79,53.35,0.0188,0.1044,Rent,0,0
71,Master,Single,1,East,Employed,0.0,0,126074.7,10506.23,35886.91,8864.82,601,1,1,0.2149,Business,14297.54,60,9.19,298.1,0.0284,0.1134,Mortgage,1,1
37,High School,Married,2,East,Employed,13.5,161,42378.31,3531.53,31394.51,16100.34,648,10,7,0.2513,Vacation,44455.85,60,11.22,971.52,0.2751,1.049,Mortgage,1,3
21,Master,Divorced,0,West,Employed,9.6,115,54903.05,4575.25,14978.68,6569.4,535,11,1,0.4031,Home,134651.28,84,8.95,2163.13,0.4728,2.4525,Own,0,1
63,Master,Divorced,2,West,Employed,6.6,79,103515.04,8626.25,28498.2,18084.91,718,13,0,0.6491,Car,28371.08,60,11.49,623.86,0.0723,0.2741,Rent,0,7
55,PhD,Divorced,5,West,Employed,6.5,78,125064.43,10422.04,28401.52,18149.58,750,13,9,0.1747,Business,104726.89,120,3.69,1044.76,0.1002,0.8374,Rent,0,3
53,PhD,Single,4,South,Self-Employed,2.8,33,120151.68,10012.64,23610.67,34210.49,539,11,2,0.2779,Medical,9105.87,12,5.33,780.92,0.078,0.0758,Rent,0,4
21,Associate,Single,2,Central,Employed,11.2,133,38088.54,3174.05,8335.44,3043.5,622,12,1,0.4557,Car,27045.49,84,9.15,437.26,0.1378,0.7101,Mortgage,0,4
60,Master,Single,3,South,Employed,9.5,114,89749.11,7479.09,43731.38,28275.38,616,6,5,0.4015,Car,5161.8,84,5.67,74.6,0.01,0.0575,Mortgage,0,5
54,Associate,Married,5,South,Employed,10.9,130,69543.79,5795.32,17846.36,6665.32,651,4,7,0.1331,Medical,12029.79,120,4.28,123.38,0.0213,0.173,Rent,0,4
63,Bachelor,Married,2,East,Part-Time,8.4,100,78305.29,6525.44,1473.96,1263.24,724,10,2,0.0835,Car,73505.41,60,5.0,1387.21,0.2126,0.9387,Mortgage,0,0
65,Bachelor,Single,1,South,Employed,9.0,108,83962.92,6996.91,16740.61,3544.12,677,3,7,0.2432,Medical,13349.95,84,5.22,190.07,0.0272,0.159,Other,0,0
30,High School,Married,5,South,Retired,6.5,78,34010.67,2834.22,23862.11,735.11,679,17,4,0.1785,Car,9591.2,60,4.62,179.35,0.0633,0.282,Mortgage,0,4
30,High School,Married,5,Central,Unemployed,13.4,160,33867.37,2822.28,9068.46,4865.44,565,17,1,0.3287,Education,8004.81,84,6.49,118.82,0.0421,0.2364,Own,0,2
